Meta:,"Description of ground station accesses for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
31911.406795034985,32208.31508967411
55877.86011590127,56177.13768696922
116523.20290559818,116818.92073317833
140496.64895886392,140776.7534206306
201155.0044639864,201414.39574631624
231070.96907745488,231325.2782186465
315664.80917083734,315959.0816376452
376306.33631227486,376605.02326919173
460921.0738317865,461213.5448841748
490894.93700460636,491063.35337563144
545557.1235559414,545805.5272966193
575462.5185898425,575726.9183751679
