Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
48756.722670892115,48800.299748862584
60511.86964500047,60558.49208313334
131893.50898440843,131937.63410788446
143653.6470270824,143697.84420993674
215032.71196534907,215079.10514307808
220909.3014008593,220952.88832285037
232664.93974831313,232711.3412268079
304046.21402970643,304090.4084846295
315806.42192936793,315850.5495553617
387185.5604998867,387232.1745237154
393061.8857447871,393105.48415998486
404817.9901552862,404864.18256935023
476198.92746446445,476243.19718566135
487959.1826189541,488003.2463242804
565214.475946119,565258.0875997943
571096.3448383539,571139.9138008383
