Meta:,"Description of ground station accesses for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
26601.56036297151,26859.700322543973
103929.88688985874,104145.9314747199
115605.89222965327,115856.90830982412
192909.43730243036,193159.96578735329
204619.36602955472,204837.32340741463
281906.34909545025,282164.41932673973
370908.41993991967,371166.78236354777
448241.98960046185,448449.7735521026
459912.33617859107,460165.0409007078
543061.8561138365,543320.3028967545
