Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
6275.730391884851,6331.053084635564
24217.338576420065,24272.79033853573
30154.188426458924,30209.778136563873
90888.15160132622,90941.15828895525
108824.13776299948,108882.79468275863
114774.21724220827,114826.91635508386
175502.62469206602,175554.71585018453
199390.60364444228,199442.74596145225
260118.77432770113,260171.87495164882
266061.26818987203,266119.1997513998
284003.4096209857,284056.8100808426
344736.1230770363,344792.6789528309
350671.78018040245,350726.63953362027
368612.81171375443,368668.75711405196
374551.9235951643,374606.8436164582
435284.5669675026,435337.30797895725
459171.34159697517,459223.79855555936
519899.3502856642,519951.4625829725
543787.1206864581,543839.3614850563
604515.737415842,604569.2333212029
