Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
27865.457205660936,27919.778168403158
70171.06928170362,70228.40045228304
118416.01550012229,118473.61763642846
160724.65462621613,160779.164664991
203033.02583800178,203085.52467908186
245341.01612007065,245392.58020077346
287648.5116130482,287700.2153502115
329955.3975269901,330008.315644361
372261.5575131865,372316.76729062235
462813.0588652474,462869.5030551488
505121.6204932715,505175.3358457396
547429.8766536234,547481.9422208152
