Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
69265.45626030547,69323.7689615623
75253.76046690637,75311.3865626919
81229.2512975804,81281.61151822098
153868.60530963077,153925.5884656113
159855.24990118886,159913.98857635693
165836.9678969642,165890.20937178648
171786.87897383881,171843.79642200648
232511.9232541341,232564.93460020496
238473.2069766392,238528.56383176238
244456.41751225013,244515.64678923824
250442.40651307828,250497.11989719907
256402.3745248784,256456.10229397498
317123.87441161077,317179.30209279916
323079.4545804136,323133.2216653741
329057.8345701702,329116.8456695061
335045.97746286646,335102.3465838077
341014.98870546883,341067.3786029912
407687.4039942417,407740.00948903715
413660.01787242363,413718.14019793895
419648.18031375064,419706.02899042726
425624.84129731683,425677.2897392079
492296.9783018178,492349.27633653575
498263.3911103898,498320.1141572286
504249.5747654626,504308.4429983591
510232.15142222604,510285.609959016
516183.8030572354,516240.03678214626
576907.9774931893,576961.2648517812
582868.2588539474,582923.336573022
588850.7451976815,588909.9878619171
594837.2454379806,594892.2341579603
600798.8109991907,600852.1970218068
