Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
4317.475358043388,4375.54942882173
10305.595130725085,10363.49545965775
16282.530767389813,16335.004528896054
82954.74355566995,83007.05344223096
88920.90392450363,88977.5632377306
94906.96927421106,94965.86590304229
100889.74450449059,100943.2568420304
106841.81264372056,106897.8911216729
167565.79464473785,167619.1557427721
173525.8368030157,173580.84754427755
179508.14246726272,179567.38579326673
185494.7573891744,185549.8129924183
191456.70349538143,191510.0155110236
252177.94373438513,252234.12592460448
258132.43846107146,258185.91402236727
264109.67924681795,264168.55727530195
270098.00017548044,270154.70224712935
276068.72986453364,276121.03193827916
348712.07910217677,348769.9448900095
354699.98715082504,354758.09373536136
360678.0317078663,360730.626845157
427350.6277986971,427403.0100440994
433315.74258497066,433372.13311821804
439301.28686484054,439360.29006556823
445284.85072117136,445338.59864503256
451238.6349932857,451294.10750339605
511961.8878207013,512015.5862253268
517920.9473589844,517975.6824395497
523902.4830189881,523961.71425784624
535853.0398552737,535906.072347509
596574.1824967859,596631.0433235212
602527.8350006233,602581.093105919
