Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
32110.203190968936,32162.72897663347
38074.03384250726,38130.08542067869
44058.8707622202,44117.97932297783
50043.329153888946,50097.38361762915
55999.20266459531,56054.00956166392
116721.70846489766,116775.8953746202
122679.58011799396,122733.98185745704
128660.11693900422,128719.30554582784
140613.0100380852,140665.76215938112
201334.16633441971,201391.95510012278
207286.82153147768,207339.83277619816
213261.9230022267,213320.48991529824
219250.3315415934,219307.60455132488
225223.99395464305,225276.2768478527
291895.73541214166,291948.0298405542
297864.7546790771,297922.1095171738
303851.9926451498,303910.50579505425
309832.3310477869,309885.28080085746
315779.6199810131,315837.6758982637
376506.1721506133,376558.8606046989
382468.97127412335,382524.7446641176
388453.18579508294,388512.35776705947
394438.30342893855,394492.6169331791
400395.842086273,400450.17436552205
461117.8646740906,461172.5075796377
467074.79759135365,467128.93724771007
473054.4889424947,473113.62129445595
479042.2966032107,479098.2561621826
485009.1678474494,485061.74295848346
551682.3244933211,551735.156839635
557656.4375781851,557714.8376076114
563644.7901506064,563702.303167054
569619.6927074057,569672.0202096339
