Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
9469.702917073104,9523.224827569147
15429.257606689262,15484.131682461248
21411.187713742256,21470.42723107468
27398.025286070708,27453.218446931445
33360.745776470154,33413.91369566852
94081.92548105268,94138.43493941474
100036.00055489522,100089.36712190986
106012.77793196279,106071.59463040992
112001.14356050311,112057.97536659222
117972.53979589176,118024.82281159757
184644.43634589855,184696.8448494146
190615.2685528245,190673.02645761814
196603.05154004015,196661.25456298672
202581.62543206845,202634.28937863722
269254.45100106375,269306.88336256467
275219.05045860755,275275.30680387875
281204.3207060957,281263.3697019507
287188.2529856738,287242.12108792004
293142.8771594292,293198.0726082553
353865.81103272893,353919.69502082793
359824.39180341945,359878.9924946314
365805.53414439224,365864.75179210404
371792.77832693676,371848.25128160586
377757.0426350293,377809.9546006004
438478.17326988344,438535.3931849222
444431.42105688713,444484.5771527793
450407.2432572612,450465.9228256126
456395.655463671,456452.74403917283
462368.369771902,462420.6400785578
535009.9262466694,535067.4564249605
540997.4155137757,541055.8026627459
546977.0225508579,547029.8426125738
