Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
4751.852121591598,4808.2193757098075
10720.854664685323,10773.245138797383
83365.89241828045,83424.01589041964
89354.05596377567,89411.90338260021
95330.7096348313,95383.15784125039
162002.84530384227,162055.14307166295
167969.26434075576,168025.9890789946
173955.4510387413,174014.318539417
179938.02276274405,179991.47914524263
185889.66390277966,185945.90156072646
246613.84333459122,246667.12956745035
252574.13073671891,252629.210098448
258556.62152639456,258615.86417480226
264543.11888296856,264598.10593945096
270504.6749640881,270558.06281476864
331225.95456346445,331281.9788785728
337180.66177760245,337234.193606404
343158.1325748634,343217.03874616156
349146.4252295093,349203.0617664786
355116.81820315804,355169.1327729902
421788.89081073954,421841.3739227463
427760.487625469,427818.4061445397
433748.45314630674,433806.51012935495
439726.22839765705,439778.7913155106
512364.0917460973,512420.5497609222
518349.7696586108,518408.74841955845
524333.1440511883,524386.8327414965
530286.5064266836,530342.1228802031
591009.9287839483,591063.5392500088
596969.229440273,597024.0322917385
602950.9588208051,603010.1947302853
