Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
12446.604686844325,12499.061922003184
18417.953448924043,18475.820484771895
24405.86292418078,24463.96824892287
30383.90121180975,30436.49522470143
97056.49441477215,97108.87610012363
103021.61552441942,103078.00768214233
109007.16309580694,109066.16572747515
114990.7223365798,115044.4682986424
120944.49639589191,120999.97233914805
181667.7533381902,181721.4499713083
187626.81875999874,187681.55548160998
193608.35933205712,193667.59053747536
199595.40779504762,199650.7407366204
205558.90433539267,205611.93830720018
266280.04732803995,266336.90389270894
272233.70489336416,272286.9641804983
278210.00710237556,278268.75777094904
284198.40367544995,284255.36493384914
290170.4641230712,290222.73669296195
362812.59279640834,362870.2383573406
368800.23507088784,368858.5326430915
374779.33281450986,374832.0718995214
441452.4171395294,441504.91004084295
447416.49747661815,447472.6157219494
453401.47783955524,453460.56823530974
459385.76867112203,459439.7616773754
465341.23729124793,465396.167030063
526063.8756121928,526117.9608956155
532021.9766396313,532076.4424707564
538002.7123473021,538061.9116645636
543990.1370289837,544045.7500749793
549955.1607107973,550007.9622487476
