Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
49190.43620758154,49243.35658622106
55165.0513827642,55223.537961403825
61153.4397626677,61210.83264044841
67127.72049510953,67180.02156415145
139767.98680787673,139825.22003484567
145755.03985007625,145813.6321567427
151735.8495834905,151788.891709541
157684.0130268852,157741.6746402299
218410.0360489487,218462.8208972857
224372.3292454258,224427.96448165702
230356.22050537993,230415.41648074452
236341.64206036722,236396.08689295338
242299.99384831043,242354.1122282425
303021.817379535,303076.70629249956
308978.2949559189,309032.3079699135
314957.5582689819,315016.6547914842
320945.4918409266,321001.5881974685
326913.0825924157,326965.5862652029
393585.9625749869,393638.71415765036
399559.58144261607,399617.8929499957
405547.8849746797,405605.5124857043
411523.3830272807,411575.7436992524
478195.2767878603,478247.54807253036
484162.73172610847,484219.71334138815
490149.37369249825,490208.11321199033
496131.0970536345,496184.33976883785
502081.0186461151,502137.9317841304
562806.0572112654,562859.0710860968
568767.3348644822,568822.6900378803
574750.5411535514,574809.7705680195
580736.5333999468,580791.2484446196
586696.5110277444,586750.2366615966
