Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
2181.0896544646935,2233.469186587727
74820.2345841503,74877.15420291673
80806.76992862494,80865.5422581446
86788.70516633385,86841.99878346303
92739.04785361169,92795.79048811014
153463.86667249913,153516.94264161124
159424.90151753082,159480.18926454123
165407.93671793598,165467.17123137295
171394.05762163896,171448.83865301267
177354.4229368348,177408.06116950454
238075.85828446393,238131.42899383864
244031.21944049696,244084.92648447482
250009.37595378584,250068.3626730915
255997.5614742314,256053.9976365039
261966.91972341074,262019.2874457012
328639.2386084623,328691.8114022538
334611.6007996067,334669.6737129417
340599.71948785736,340657.6212439907
346576.66200173146,346629.1364272103
419215.02988837735,419271.68846668984
425201.0930816636,425259.99043609423
431183.8731843857,431237.3869827014
437135.9518035372,437192.02642468916
497859.92899364344,497913.29260661086
503819.9651378685,503874.974218787
509802.2667389352,509861.5095872304
521750.8395774948,521804.1497695626
582472.0788214821,582528.2649070591
588426.5683598779,588480.0425913591
594403.803809285,594462.6808664358
600392.1251108628,600448.8287246696
