Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
26548.146945321518,26600.514065914413
32518.46692421292,32576.113815335564
38506.11117004163,38564.407365935105
44485.202436075466,44537.94056443009
117122.37018442975,117178.49006492914
123107.35409419487,123166.44400014907
129091.64066903357,129145.63253387604
135047.0991568934,135102.03201983674
195769.74098194455,195823.8237585523
201727.84777360837,201782.31543270109
207708.58837543492,207767.78800072457
219661.025715327,219713.82843679728
280382.16734474053,280439.76287670335
286335.01851059025,286388.0769285458
292310.36137829174,292368.966796965
298298.77473463444,298355.98688989517
304272.1238393348,304324.4005483507
370943.86528485315,370996.170352868
376913.1430756733,376970.5568444963
382900.46782403294,382958.93993003183
388880.5656460948,388933.47097668546
455554.2433934777,455606.88766954414
461517.29641766247,461573.1387463384
467501.6686832087,467560.82683130715
473486.6289677993,473540.87788206595
479443.75867282884,479498.20294923737
540165.8905431518,540220.4156469357
546123.0532609021,546177.2565663466
552102.9560509637,552162.1043583783
558090.6948468558,558146.5859788408
564057.2030926673,564109.8178954093
