Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
931.8190907059579,987.8396242366999
6886.531631742096,6940.064825229636
12864.008053201733,12922.91486164712
18852.29994541415,18908.934827186175
24822.68428953804,24874.99954482399
97466.36205979143,97524.28183444894
103454.32893899205,103512.38458001806
109432.09754804635,109484.65970739977
176104.58639259802,176156.94675091922
182069.96540127616,182126.4244895123
188055.64598058202,188114.62412229454
194039.01567448536,194092.70241592886
199992.3670336084,200047.987803104
260715.79455406105,260769.40327174476
266675.1010546843,266729.90553468274
272656.83514114324,272716.07111913513
278643.7813425327,278699.045212769
284606.8955242989,284659.99418823887
345328.05361468106,345384.73670260573
351281.9164385778,351335.22822578566
357258.4541280006,357317.23789139395
363246.8371843856,363303.7347618958
369218.57086418575,369270.84750637284
441860.9923714461,441918.69388237194
447848.70564041816,447906.95730273594
453827.5465740643,453880.24769593286
520500.4995835437,520552.9612657372
526464.8363885168,526521.0226963058
532449.9610751835,532509.0316241606
538434.0766125043,538488.0079732863
544389.1287393906,544444.1879515327
