Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
15033.918030253657,15090.596960123521
20987.786003493628,21041.098129275895
26964.329469263812,27023.113966282493
32952.712115649076,33009.60808366962
38924.43776663801,38976.714525511765
105596.2902642079,105648.6772373806
111566.86660079642,111624.56944929414
117554.5819668219,117612.83206781684
123533.41590605276,123586.11638412395
190206.36616826983,190258.82712020678
196170.7092747875,196226.89721235115
202155.83743021305,202214.90747926803
208139.9486303026,208193.8785127012
214094.99066569426,214150.05303362655
274817.7751769996,274871.7570945591
280776.1183423597,280830.652327362
286757.06085204636,286816.2695636254
292744.39612276916,292799.9382667796
298709.0366372933,298761.89258100017
359430.1700778585,359487.5755222235
365383.2183527871,365436.3250638718
371358.8014610455,371417.4446488068
377347.21605682094,377404.36669816705
383320.2486718081,383372.5216208765
449991.9977746698,450044.3153420181
455961.5336770541,456019.0057951196
461948.94212671963,462007.37231383
467928.7962724547,467981.6582429814
534602.3167862812,534654.9195321349
540565.624296918,540621.5354436851
546550.1516975673,546609.2948411705
552534.9510449027,552589.1353195172
558491.6702389014,558546.2299172472
