Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
40649.73287875173,40702.03818536262
46619.017326421,46676.43215228925
52606.343808789345,52664.8148541544
58586.43566086891,58639.33993325474
131223.16886912912,131279.0128546802
137207.54494687603,137266.70273175355
143192.50133601014,143246.74839461062
149149.62104628654,149204.06810739773
209871.75582267754,209926.2780497333
215828.92412717955,215883.1289873006
221808.83266970416,221867.98076086334
227796.56956599496,227852.45860046294
233763.06835629125,233815.68432105216
306410.74336162856,306469.1873907764
312399.1159584716,312456.5693303354
318373.7086683619,318426.0224303348
385045.4943966364,385097.7680324092
391013.73223444604,391070.90288323356
397000.686281349,397059.3173414824
402981.73248226463,403034.8235595286
408930.3422174827,408987.8081191295
469656.10514137696,469708.94359372545
475618.14022176637,475673.704607295
481601.8619291148,481661.0683439905
487587.43357874086,487641.9462127471
493546.19932605536,493600.21329407225
554267.9307317896,554322.9511319406
560224.1773656837,560278.1271024053
566203.2184944269,566262.2950581143
572191.2110568184,572247.3771544747
578159.1670992533,578211.6377902045
