Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
1328.2992075088232,1383.4489755408497
7310.976785525929,7370.217865229455
13297.35032981289,13352.267325181692
19258.504923679146,19311.97444569552
79979.83120390703,80035.69773086531
85934.75795440319,85988.34897792494
91912.46258755575,91971.39746714283
97900.72241349319,97957.2917221992
103870.76747886692,103923.09791343656
176514.77280196664,176572.74462146347
182502.79374634998,182560.79901216057
188480.29025889773,188532.8214103384
255152.6808160341,255205.02212707844
261118.31792201346,261174.84359093203
267104.12864376616,267163.0810332949
273087.3052945287,273140.93357739673
279040.2341690302,279096.00196216465
339763.83754850837,339817.3614852581
345723.38622525265,345778.2586696727
351705.31167468807,351764.5511820163
357692.15191713977,357747.34680135886
363654.88183192234,363708.0471253738
424376.0609316237,424432.5744744262
430330.13086642546,430383.49612209905
436306.90252371156,436365.71847272944
442295.2686176532,442352.10201775166
448266.67291553813,448318.9557723255
514938.56821620744,514990.97617419134
520909.39417231746,520967.1508155697
526897.1755792255,526955.379722643
532875.7560900117,532928.4206276629
599548.5842922066,599601.0172447152
