Meta:,"Description of subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0.",,,,,,,,,,,
Summ:,"During each time, Obs has known orbit Keplerian model and statistics.",,,,,,,,,,,
Time,[s],ObsOrbit,[m],,[deg],[deg],[deg],[deg],ObsCoordinates,[deg],[deg],[deg]
t0,t1, ,SMA,ecc,inc,RAAN,AOP,MA, ,lat,long,alt
0.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,0.000000,,6778137.000000,0.000000,0.000000
300.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,19.446760,,6391452.825408,1885404.078484,1240049.770045
600.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,38.893521,,5275519.991417,3555688.303279,2338612.986548
900.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,58.340281,,3557663.621970,4820277.453849,3170346.355147
1200.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,77.787041,,1433886.799414,5534885.095180,3640351.194649
1500.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,97.233802,,-853492.893220,5617976.296378,3695001.137393
1800.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,116.680562,,-3043491.197742,5060070.560793,3328060.762640
2100.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,136.127322,,-4886234.826923,3924823.526803,2581397.042375
2400.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,155.574082,,-6171471.376825,2341764.019893,1540202.425309
2700.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,175.020843,,-6752558.596207,491515.140115,323274.593191
3000.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,194.467603,,-6563195.897813,-1414814.378416,-930538.055281
3300.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,213.914363,,-5624989.088293,-3159717.142037,-2078178.656822
3600.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,233.361124,,-4044985.200108,-4544104.142990,-2988704.311125
3900.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,252.807884,,-2003458.694914,-5410020.313451,-3558226.335773
4200.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,272.254644,,266657.398177,-5658666.800684,-3721763.703085
4500.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,291.701405,,2506348.554176,-5261673.667144,-3460657.211605
4800.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,311.148165,,4460071.656737,-4264336.828851,-2804698.453959
5100.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,330.594925,,5904911.823706,-2780449.905529,-1828730.671223
5400.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,350.041685,,6676016.433371,-979320.655380,-644109.327737
5700.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,369.488446,,6685404.393136,933546.613427,614003.266736
6000.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,388.935206,,5932004.560453,2739898.566401,1802059.635908
6300.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,408.381966,,4501777.957483,4233634.998144,2784505.542242
6600.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,427.828727,,2557909.835115,5244324.346366,3449246.383822
6900.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,447.275487,,322190.647101,5656649.503611,3720436.905928
7200.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,466.722247,,-1950289.681750,5423565.208595,3567134.953453
7500.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,486.169008,,-4000246.873107,4571665.791952,3006831.892817
7800.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,505.615768,,-5593785.977816,3198150.830131,2103456.891142
8100.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,525.062528,,-6549088.200125,1459734.918693,960082.759399
8400.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,544.509288,,-6757155.964060,-445233.068089,-292834.395555
8700.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,563.956049,,-6194249.262134,-2299401.083895,-1512339.883989
9000.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,583.402809,,-4924594.330379,-3891213.231066,-2559291.203115
9300.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,602.849569,,-3093055.596676,-5039047.755355,-3314233.845988
9600.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,622.296330,,-908607.014627,-5611939.630356,-3691030.759691
9900.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,641.743090,,1379511.337885,-5544523.336954,-3646690.365987
10200.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,661.189850,,3510230.923440,-4844490.904323,-3186271.792052
10500.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,680.636611,,5240442.007248,-3591714.268777,-2362307.636805
10800.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,700.083371,,6372731.865187,-1929132.087137,-1268810.133775
11100.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,719.530131,,6777909.078108,-46440.796226,-30544.592185
11400.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,738.976891,,6409743.947159,1841549.272492,1211206.010394
11700.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,758.423652,,5310243.185917,3519423.210361,2314761.059714
12000.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,777.870412,,3604857.060236,4795739.829711,3154207.705868
12300.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,797.317172,,1488165.829080,5524874.620895,3633767.202137
12600.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,816.763933,,-798321.372643,5623635.141832,3698723.018598
12900.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,836.210693,,-2993722.117707,5080753.065983,3341663.860298
13200.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,855.657453,,-4847546.714032,3958169.870011,2603329.277326
13500.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,875.104214,,-6148278.447256,2383969.467399,1567961.384819
13800.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,894.550974,,-6747507.104771,537764.156727,353693.049940
14100.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,913.997734,,-6576862.206953,-1369798.688934,-900930.770547
14400.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,933.444494,,-5655813.906577,-3121070.956406,-2052760.660674
14700.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,952.891255,,-4089451.493457,-4516236.893593,-2970375.732863
15000.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,972.338015,,-2056492.971323,-5396111.583211,-3549078.419985
15300.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,991.784775,,211106.215989,-5660303.540669,-3722840.203908
15600.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,1011.231536,,2454618.716093,-5278669.129446,-3471835.303007
15900.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,1030.678296,,4418065.406914,-4294751.874054,-2824702.743883
16200.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,1050.125056,,5877421.969381,-2820814.253629,-1855278.720605
16500.0,,,6778137.000000,0.000000,33.333333,0.000000,0.000000,1069.571817,,6666179.497642,-1025028.835986,-674172.071048
