Meta:,"Description of ground station accesses for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
24234.831929669235,24493.727705124747
109337.67987604473,109589.75784788182
194443.06727392404,194683.736970702
279551.8540082685,279774.99138698773
291570.79486372997,291697.34800632735
376645.0203610083,376825.463631437
461729.57316689857,461942.2133374707
546819.2353738216,547052.9475572256
