Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
1749.3825407985353,1802.7731552681532
7696.636021375651,7746.363566754731
13616.279418416269,13670.699621286307
73986.9315522201,74039.09309954304
79914.15835288935,79964.45048678067
91812.04680509429,91863.08558041652
97743.21667962373,97793.74879463302
164032.19555386697,164081.55355474126
169972.41916801682,170025.35395922392
175924.92577844334,175977.41256770244
181865.72312907013,181915.03959279731
248152.65906694805,248202.46746131044
254085.94416699524,254137.55412172293
260036.37189931935,260089.82511665046
265984.19481117977,266034.02577503055
271905.05439289706,271958.93771234876
332275.1257457558,332327.6945487641
338201.72399648186,338251.88546466385
344147.5511364366,344201.1326517182
356031.5383904335,356081.844533199
422320.01293094165,422369.3389186577
428259.5609503432,428312.3860235994
434211.99240378616,434264.60487126204
440153.61884078564,440202.9240740742
506440.7013436974,506490.66609108285
512373.289349346,512424.7492858404
518323.35849027656,518376.8656001909
530193.7832267622,530247.1652968756
590563.3324218474,590616.3412451092
596489.3147559039,596539.3515733167
602434.573787155,602488.117389197
