Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
34888.29640056244,34937.67524246564
40828.85454963112,40881.84162792505
46781.38775202632,46833.809090381095
52721.76002173615,52771.08851692732
119008.64566597746,119058.3843085285
124942.27996964884,124993.96442036222
130892.87760659143,130946.30060113396
136840.41968823716,136890.19784644493
142760.67264962228,142814.81989679954
203131.02605625958,203183.38815318755
209057.9379556587,209108.16412241996
220955.68042137352,221006.79432535145
226887.38319825922,226937.79895825332
293176.1012415897,293225.44144455093
299115.98795867106,299168.86872656853
305068.4612440996,305121.01115277567
311009.6755869675,311058.984816744
377296.6777029319,377346.56138540345
383229.61395707424,383281.14899844024
389179.86548744526,389233.3467481464
395127.9614103237,395177.84726550936
401049.4245874651,401103.0528986977
461419.2275755364,461472.0122394316
467345.5161762034,467395.61457644764
485175.682430539,485225.8853803854
551463.9312270861,551513.2460421154
557403.1382211801,557455.9062321335
563355.5198392345,563408.1938178185
