Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
4725.155553817532,4776.870657870639
10660.937680306886,10710.649319135413
76948.18383258645,76997.51857100456
82885.31960526008,82937.71327950816
88837.2466612821,88890.25477249772
94781.56265059313,94830.9512520018
161069.62044745265,161120.32809308227
166999.80421842786,167050.73745526813
178898.42293039538,178948.8105391634
184824.59471399852,184876.48798568014
251116.70367448474,251166.36401028695
257059.85547932473,257113.1968873016
268949.06241829053,268998.6567140857
335236.107976635,335285.4839461293
341172.54554705415,341224.8045107091
347124.26230644144,347177.36947923613
353069.28305563616,353118.7267892249
419357.7461051615,419408.72587027424
425287.2571006668,425338.0424147735
431235.4178284845,431289.0559371597
443113.11876946763,443164.6581432917
509404.40932194813,509453.98209444777
521299.4546240926,521351.4619140129
527237.1448869494,527286.6426404397
599459.7917286635,599511.9118340607
