Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
62928.154731391944,62977.46045344127
68866.44689878458,68919.05457412347
74818.65977420456,74871.48925463081
80761.73753053552,80811.06394939417
147049.24316459757,147099.55767183684
152980.56345974165,153031.7468040139
158929.9114759495,158983.49429317378
170803.4141867636,170855.96647882112
231172.1558253347,231226.05970594747
237097.04466603047,237146.8713611496
243041.2214574476,243094.6723620424
254928.62382247607,254978.42626886565
321216.0406129501,321265.3578687907
327153.64007089497,327206.12101741845
333105.691253796,333158.63022323244
339049.52114263776,339098.88055277657
405337.33953574736,405387.88109538035
411267.9757420665,411319.0086922082
429092.0139312464,429144.1599853118
489487.7651860661,489514.83621532423
495384.70766094484,495434.43130309397
501328.2736857567,501381.66170007293
513216.7773725398,513266.4473292482
579503.949137667,579553.2955832335
585440.8524670393,585493.2017107639
591392.7125814573,591445.7550662941
597337.2667231626,597386.6722857944
