Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
2169.8357398574294,2219.141274466831
68456.90392007378,68506.85459029718
74389.54989024975,74441.02228415785
80339.64981526803,80393.15274496289
86287.9672349539,86337.90032356663
92209.93089679988,92263.35352590178
152579.52158853237,152632.49246156245
158505.5547412014,158555.60173998354
164450.86180504595,164504.40890359733
176336.00094540702,176386.12266234582
242624.07427089007,242673.3831357633
248562.9963536277,248615.71538300038
254515.33124533485,254568.05475645966
260457.69484377047,260507.00415872902
326744.9642465206,326795.0934876697
332676.9165548349,332728.23824413214
338626.63521042775,338680.18396400043
350498.61805533257,350551.5710496246
410867.7395499493,410921.1813560496
416793.1690719261,416843.09765346546
434624.2379678363,434674.18223981693
500911.93749745557,500961.24362165306
506850.1721462227,506902.7693825749
512802.37266603066,512855.2115530373
518745.51422686456,518794.84282402415
585033.043518546,585083.3760527471
590964.3067363431,591015.4774343217
596913.6199746111,596967.2055183571
602862.924115214,602913.1013355262
