Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
59966.432430908295,60017.985240362745
65894.7317784606,65945.25295209589
83722.37491139778,83773.34333667756
150012.34791994697,150061.78943895173
155953.6794339344,156006.7828592283
161906.2439410971,161958.50842621224
167845.59974904367,167894.97373673908
234132.42748695766,234182.0256880272
240066.8789654527,240118.73569770154
246017.84761243983,246071.19188510955
251964.7044666943,252014.3680913582
318254.6032230394,318306.5107769132
324182.2553711505,324232.63757074595
342010.77096707455,342061.46840767545
408300.1241164206,408349.5112790667
414240.7938728572,414293.79802707094
420193.33415960113,420245.73351580027
426133.563407758,426182.8968869875
492420.435459731,492470.15227568324
498354.18640740257,498405.8957477494
504304.8392068362,504358.2516704281
510252.28599866445,510302.0470222709
516172.3361390062,516226.5732868662
576542.7879713959,576595.0816769107
582469.8036559029,582520.0518210602
588416.000391676,588469.6021152545
594367.5963241702,594418.6851632883
600299.1220378241,600349.5758129659
