Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
54436.640772852,54486.34678663973
60370.45003897629,60422.17172582348
66321.1301733695,66374.53724561533
72268.52892182163,72318.28149292596
78188.47751527501,78242.76006912335
138558.9786589049,138611.2392026219
144486.04739190495,144536.30634290914
156383.86440169087,156434.94071080894
162315.30137349473,162365.77443860008
228604.14811395924,228653.4963036143
234544.2030412072,234597.11151563394
240496.69434749367,240549.21253151723
246437.70087136727,246487.01294484368
312724.66800719773,312774.51307777263
318657.7782814717,318709.35089174705
324608.11877515964,324661.58628762345
330556.0791727945,330605.9373279134
336477.2409347633,336530.99562969944
396847.17627865914,396899.85197694117
402773.619335179,402823.7490429691
408719.3059933249,408772.87887618504
420603.61192448594,420653.86555358657
486891.9716158615,486941.2912680228
492831.34904375294,492884.14593774884
498783.7567021025,498836.40005489835
504725.5861864874,504774.8914477668
576945.1292392589,576996.5515066294
582895.1048218753,582948.6240300763
588843.5955351196,588893.567393906
594765.9582223905,594819.2204172964
