Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
31925.564010817536,31976.145926690697
37856.086933290455,37907.09481180308
49754.72004527857,49805.03978974784
55680.31606985144,55732.3976076251
121972.86045601507,122022.56809190432
127916.3237114302,127969.70041023732
139805.00526835283,139854.655628846
206092.14307131682,206141.4961273683
212028.93006503952,212081.25694112407
217980.75556500946,218033.81452256406
223925.42731878636,223974.84215062571
290213.68125996605,290264.52142535534
296143.5275345532,296194.38663628366
308042.11832717195,308092.5749516677
313968.86261202535,314020.57498688117
380260.5535682986,380310.16865645326
386203.39041447086,386256.694451199
392155.8872212706,392207.8224398677
398093.109183855,398142.65241564694
464380.0779768469,464429.4820333972
470316.1660763439,470368.35609041224
476267.7669899864,476320.920522873
482213.1291098751,482262.60509907565
554430.9925964504,554481.7049061077
560378.9135553417,560432.5547848021
566329.4869343499,566380.0846616662
572257.3635104976,572308.7373877042
