Meta:,"Description of lat long access for subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0."
Summ:,"During each time, Obs has known orbit Keplerian model and statistics."
Time,[s]
t0,t1
23435.416993750976,23488.165101804112
29361.757090872492,29411.865881709684
35307.34960843923,35360.91638578922
47191.86590712126,47242.08561061624
113480.15131952806,113529.46764238726
119419.41521210912,119472.19264032092
125371.8059528827,125424.46947879774
131313.76983563293,131363.07568652008
197600.93160823715,197650.96857726597
203533.23034295056,203584.6274093066
209483.14264588756,209536.66961090843
215431.71868079796,215481.7102270263
221354.28028776372,221407.46375811304
281723.6291718706,281776.8312457739
287649.3587599954,287699.3456523364
293594.37635941035,293647.9015093356
305480.1249663086,305530.1549246096
371768.0028047836,371817.3084497708
377706.5819784572,377759.2408715405
383658.8534429524,383711.635423728
389601.6091441542,389650.9265601036
455889.00155311584,455939.22929872584
461820.60875009745,461871.8548733381
467770.12760432484,467823.69588336925
479642.94439802994,479695.67521520326
540011.8526051785,540065.5427977955
545936.9856557173,545986.8578344297
557833.6293245555,557885.1828081573
563768.3398866316,563818.2045167986
