Meta:,"Description of subspace, including startTime. t0 is s after startTime, t1 is s after t0.",,,,,,,,,,,,,
Summ:,"During each time, DSM constellation global performance is summarized by these statistics.",,,,,,,,,,,,,
Time,[s],POI,[deg],[deg],[km],AccessTime,[s],,RevisitTime,[s],,TimeToCoverage,[s],NumberOfPasses,
t0,t1,POI,lat,lon,alt,ATavg,ATmin,ATmax,RvTavg,RvTmin,RvTmax,TCcov,numPass
0,604800.0,0,-30.000000000000004,-180.0,0.0,47.987445789393114,46.28488435826148,51.157379111333285,26249.751138810145,3275.728479499696,65862.73831626616,,22
0,604800.0,1,-30.000000000000004,-150.0,0.0,48.086569164665846,46.286328587681055,51.17755409133679,26249.656325146843,4699.611044606779,65860.24612519192,,22
0,604800.0,2,-30.000000000000004,-120.00000000000001,0.0,47.99045995831987,46.284035015050904,51.16381587309297,26249.74825569204,2432.014203943778,65862.75979124787,,22
0,604800.0,3,-30.000000000000004,-90.0,0.0,48.0391768787039,46.28458051150665,51.155375145492144,26249.701656898633,5838.162528632907,65860.26181999303,,22
0,604800.0,4,-30.000000000000004,-60.00000000000001,0.0,48.04397928058934,46.287560589349596,51.16931888193358,28754.243829256582,5838.082220012177,65862.7812835658,,20
0,604800.0,5,-30.000000000000004,-30.000000000000004,0.0,47.99880070552583,46.28455387073336,51.15465024788864,25154.00114932387,5838.167907107796,65860.27723893124,,23
0,604800.0,6,-30.000000000000004,0.0,0.0,48.08432725113644,46.2867831265321,51.17468153536902,26249.65846958587,5838.316581143001,65860.2381396353,,22
0,604800.0,7,-30.000000000000004,30.000000000000004,0.0,47.9886364505571,46.28445619533886,51.15971594868461,26249.749999916858,5838.1336429759685,65862.74905138684,,22
0,604800.0,8,-30.000000000000004,60.00000000000001,0.0,48.174548660873015,46.2858780589886,51.18042151462214,25153.832724199998,5838.145399437635,65860.25395905128,,23
0,604800.0,9,-30.000000000000004,90.0,0.0,47.959164525163246,46.282849541748874,51.166034277994186,27445.1298884078,5838.099362576744,65862.7701041473,,21
0,604800.0,10,-30.000000000000004,120.00000000000001,0.0,47.997710160324026,46.285731611656956,51.152028511220124,25154.00219442969,5838.179668290773,65860.26968032881,,23
0,604800.0,11,-30.000000000000004,150.0,0.0,47.9610064314168,46.28724390687421,51.17180340542109,27445.128130224555,3864.360597849538,65862.79203558201,,21
0,604800.0,12,0.0,-180.0,0.0,47.32657135959663,45.703885408642236,49.57311844982905,60437.40608577636,15319.485835796571,131294.4864082597,,9
0,604800.0,13,0.0,-150.0,0.0,47.46832102216346,45.95315260795178,49.586995181511156,86359.31286769529,22643.49218127436,131294.4931255416,,6
0,604800.0,14,0.0,-120.00000000000001,0.0,47.50655618913443,45.955114507407416,49.59430959451129,54938.63040346442,32201.858672148548,89475.97890497465,,10
0,604800.0,15,0.0,-90.0,0.0,47.54557715186924,45.70626729843207,49.565781588840764,75558.39761999212,37700.46045742743,131294.4904979039,,7
0,604800.0,16,0.0,-60.00000000000001,0.0,47.46847627161486,45.69925643259194,49.61561421089573,67157.80579886968,263.0038835507575,214928.26798565686,,8
