Meta:,"Description of subspace/Obs, including startTime. t0 is s after startTime, t1 is s after t0.",,,,,,,,,,,
Summ:,"During each time, Obs has known orbit Keplerian model and statistics.",,,,,,,,,,,
Time,[s],ObsOrbit,[m],,[deg],[deg],[deg],[deg],ObsCoordinates,[deg],[deg],[deg]
t0,t1, ,SMA,ecc,inc,RAAN,AOP,MA, ,lat,long,alt
0.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,0.000000,,-6853137.000000,0.000000,0.000000
300.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,19.128400,,-6474752.008790,-1761545.610352,1392849.678926
600.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,38.256801,,-5381380.878552,-3328569.377557,2631891.426239
900.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,57.385201,,-3693761.083381,-4528029.882954,3580301.827883
1200.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,76.513602,,-1598251.075285,-5227474.542336,4133350.959010
1500.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,95.642002,,673748.683147,-5349665.920847,4229967.374349
1800.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,114.770402,,2871348.531129,-4881110.815687,3859482.032416
2100.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,133.898803,,4751874.551837,-3873550.267300,3062806.443619
2400.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,153.027203,,6107666.276257,-2438245.961904,1927914.943118
2700.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,172.155604,,6789007.964074,-733693.959617,580129.966591
3000.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,191.284004,,6720661.233634,1051877.518120,-831716.905184
3300.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,210.412405,,5910173.395608,2721293.528528,-2151719.941397
3600.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,229.540805,,4447044.027624,4090205.805283,-3234115.432011
3900.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,248.669205,,2492841.822397,5007449.747469,-3959377.907683
4200.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,267.797606,,263363.074164,5371737.042597,-4247418.954746
4500.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,286.926006,,-1995198.015340,5142840.610726,-4066431.122376
4800.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,306.054407,,-4033435.774521,4346036.752144,-3436400.317570
5100.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,325.182807,,-5626274.131914,3069313.966433,-2426898.825411
5400.0,,,6853137.000000,0.000000,38.333333,180.000000,0.000000,344.311207,,-6597821.046294,1453656.664103,-1149402.664323
